28	18
5	5	5	5	5	5	5	60	58	58	58	58	58	58	58	58	58	58	58	58	59	5	5	5	5	5	5	5
5	5	5	5	5	5	5	66	108	109	109	109	109	109	109	109	109	109	109	110	63	5	5	5	5	5	5	5
5	5	5	5	5	5	5	66	111	112	112	112	112	112	112	112	112	112	112	113	63	5	5	5	5	5	5	5
5	5	5	5	5	5	5	66	114	115	115	115	115	115	115	115	115	115	115	116	63	5	5	5	5	5	5	5
5	5	5	5	5	5	5	66	13	13	13	13	13	13	13	13	13	13	13	13	63	5	5	5	5	5	5	5
5	5	5	5	5	5	5	66	13	13	13	13	13	13	13	13	13	13	13	13	63	5	5	5	5	5	5	5
5	5	5	5	5	5	5	66	13	13	13	13	13	13	13	13	13	13	13	13	63	5	5	5	5	5	5	5
5	5	5	5	5	5	5	66	13	13	13	13	13	13	13	13	13	13	13	13	63	5	5	5	5	5	5	5
5	5	5	5	5	5	5	66	13	13	13	13	13	13	13	13	13	13	13	13	63	5	5	5	5	5	5	5
5	5	5	5	5	5	5	66	13	13	13	13	13	13	13	13	13	13	13	13	63	5	5	5	5	5	5	5
5	5	5	5	5	5	5	66	13	13	13	13	13	13	13	13	13	13	13	13	63	5	5	5	5	5	5	5
5	5	5	5	5	5	5	62	68	13	13	65	69	69	69	69	69	69	69	69	61	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	62	69	69	61	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
