30	17
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	79	58	59	59	59	59	59	59	59	59	60	80	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	75	61	62	62	62	62	62	62	62	62	63	72	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	75	64	65	65	65	65	65	65	65	65	66	72	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	75	8	8	8	8	8	8	8	8	8	8	72	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	75	8	8	8	8	8	8	8	8	8	8	72	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	75	8	8	8	8	8	8	8	8	8	8	72	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	75	8	8	8	8	8	8	8	8	8	8	72	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	75	8	8	8	8	8	8	8	8	8	8	72	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	71	78	78	78	77	8	8	74	78	78	78	70	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	71	78	78	70	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
